name,amount,category,due_day,frequency,annual_month,meta_pay_date,meta_inc_pay_0,meta_inc_rent_0,meta_inc_other_0,meta_inc_pay_1,meta_inc_rent_1,meta_inc_other_1
Mortgage,1772.0,HOUSING,1,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Rent,1200.0,HOUSING,15,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Electricity,346.0,HOUSING,12,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Lowes,54.0,Loans,20,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
AT&T Phone,226.34,PHONE,31,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
AT&T Internet - Home,22.23,Internet,23,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
AT&T Internet - Nick,47.68,Internet,21,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
AT&T Internet,36.0,ENTERTAINMENT,14,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Klarna,69.79,LOANS,21,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Avant,125.0,LOANS,28,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Car Insurance - Me,203.17,Insurance,15,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Car Insurance - Mom,122.25,Insurance,27,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Car Insurance - Ny,311.36,Insurance,5,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
AHS,64.58,HOUSING,11,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
BanField,63.85,HOUSING,26,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Crunchyroll,119.99,ENTERTAINMENT,29,Annual,12,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
FC - Gym,29.22,OTHER,1,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Klarna - Disney,150.96,LOANS,27,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Navy Fed - Green,364.52,LOANS,28,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Navy Fed - Closed,190.78,LOANS,10,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Ny Car Note,116.66,LOANS,12,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Netflix,27.05,ENTERTAINMENT,3,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Google One Storage,19.99,OTHER,2,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Life360,7.99,OTHER,10,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Walmart +,120.25,ENTERTAINMENT,2,Annual,4,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
UT Southwestern,122.0,LOANS,16,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Instacart,99.0,HOUSING,14,Annual,11,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Petal,99.47,LOANS,26,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
Uber One,99.47,OTHER,6,Annual,1,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
MCM,25.0,LOANS,26,Monthly,0,2025-12-19,2449.0,2100.0,0.0,3449.0,0,0.0
